Rank,Song,Artist,Year,Lyrics,Source
20,ben,michael jackson,1972, ben the two of us need look no more we both found what we were looking for with a friend to call my own ill never be alone and you my friend will see youve got a friend in me ben youre always running here and there you feel youre not wanted anywhere if you ever look behind and dont like what you find theres something you should know youve got a place to go i used to say i and me now its us now its we i used to say i and me now its us now its we ben most people would turn you away i dont listen to a word they say they dont see you as i do i wish they would try to im sure theyd think again if they had a friend like ben a friend like ben like ben like ben ,1.0
41,rockin robin,michael jackson,1972, he rocks in the tree tops all day long hoppin and aboppin and singing his song all the little birdies on jaybird street love to hear the robin go tweet tweet tweetrockin robin rock rock rockin robin blow rockin robin cause were really gonna rock tonightevery little swallow every chickadee every little bird in the tall oak tree the wise old owl the big black crow flappin their wings singing go bird gorockin robin rock rock rockin robin blow rockin robin cause were really gonna rock tonightpretty little raven at the birdband stand told them how to do the bob and it was grand they started going steady and bless my soul he outbopped the buzzard and the oriolehe rocks in the tree tops all day long hoppin and aboppin and singing his song all the little birdies on jaybird street love to hear the robin go tweet tweet tweetrockin robin rock rock rockin robin blow rockin robin cause were really gonna rock tonightpretty little raven at the birdband stand told them how to do the bob and it was grand they started going steady and bless my soul he outbopped the buzzard and the oriolehe rocks in the tree tops all day long hoppin and aboppin and singing his song all the little birdies on jaybird street love to hear the robin go tweet tweet tweetrockin robin rock rock rockin robin blow rockin robin cause were really gonna rock tonight ,1.0
91,dont stop til you get enough,michael jackson,1979, 1st verse lovely is the feelin now fever temperatures risin now power ah power is the force the vow that makes it happen it asks no questions why ooh so get closer closer now to my body now just love me til you dont know how ooh chorus keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough2nd verse touch me and i feel on fire aint nothin like a love desire ooh im melting im melting like hot candle wax sensation ah sensation lovely where were at ooh so let love take us through the hours i wont be complanin cause this is love power ooh chorus keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough ooh3rd verse heartbreak enemy despise eternal ah eternal love shines in my eyes ooh so let love take us through the hours i wont be complanin no no cause your love is alright alrightchorus keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough refrain lovely is the feeling now i wont be complanin ooh ooh the force is love power chorus keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough keep on with the force dont stop dont stop til you get enough adlib to fade ,1.0
4,rock with you,michael jackson,1980, girl close your eyes let that rhythm get into you dont try to fight it there aint nothing that you can do relax your mind lay back and groove with mine you gotta feel that heat and we can ride the boogie share that beat of lovei want to rock with you all night dance you into day sunlight i want to rock with you all night rock the night awayout on the floor there aint nobody there but us girl when you dance theres a magic that must be love just take it slow cause we got so far to go you gotta feel that heat and we can ride the boogie share that beat of lovei want to rock with you all night dance you into day sunlight i want to rock with you all night rock the night awayand when the groove is dead and gone yeah you know that love survives so we can rock forever oni want to rock with you i want to groove with youi want to rock all night with you girl sunlight rock with you rock with you girl yeah all night dance the night awayi want to rock with you yeah all night rock you into day sunlight i want to rock with you all night rock the night awayfeel the heat feel the heat rock you into day sunlight i want to rockrock the night away ,1.0
65,shes out of my life,michael jackson,1980, shes out of my life shes out of my life and i dont know whether to laugh or cry i dont know whether to live or die and it cuts like a knife shes out of my lifeits out of my hands its out of my hands to think for two years she was here and i took her for granted i was so cavalier now the way that it stands shes out of my handsso ive learned that loves not possession and ive learned that love wont wait now ive learned that love needs expression but i learned too lateshes out of my life shes out of my life damned indecision and cursed pride kept my love for her locked deep inside and it cuts like a knife shes out of my life ,1.0
79,off the wall,michael jackson,1980, when the world is on your shoulder gotta straighten up your act and boogie down if you cant hang with the feelin then there aint no room for you this part of town cause were the party people night and day livin crazy thats the only wayso tonight gotta leave that nine to five upon the shelf and just enjoy yourself groove let the madness in the music get to you life aint so bad at all if you live it off the wall life aint so bad at all live life off the wall live your life off the wall live it off the wallyou can shout out all you want to cause there aint no sin in folks all getting loud if you take the chance and do it there there aint no one whos gonna put you down cause were the party people night and day livin crazy thats the only wayso tonight gotta leave that nine to five upon the shelf and just enjoy yourself groove let the madness in the music get to you life aint so bad at all if you live it off the wall life aint so bad at all live life off the wall live your life off the wall live it off the walldo what you want to do there aint no rules its up to you aint no rules its all up to you its time to come alive and party on right through the night all rightgotta hide your inhibitions gotta let that fool loose deep inside your soul want to see an exhibition better do it now before you get too old cause were the party people night and day livin crazy thats the only wayso tonight gotta leave that nine to five upon the shelf and just enjoy yourself groove let the madness in the music get to you life aint so bad at all if you live it off the wall life aint so bad at all live life off the wall live your life off the wall live it off the wallso tonight gotta leave that nine to five upon the shelf and just enjoy yourself come on and groove yeah and let the madness in the music get to you life aint so bad at all if you live it off the wallso tonight gotta leave that nine to five upon the shelf and just enjoy yourself come on and groove yeah and let the madness in the music get to you life aint so bad at all if you live it off the wall ,1.0
2,billie jean,michael jackson,1983, she was more like a beauty queen from a movie scene i said dont mind but what do you mean i am the one who will dance on the floor in the round she said i am the one who will dance on the floor in the roundshe told me her name was billie jean as she caused a scene then every head turned with eyes that dreamed of being the one who will dance on the floor in the roundpeople always told me be careful of what you do and dont go around breaking young girls hearts and mother always told me be careful of who you love and be careful of what you do cause the lie becomes the truthbillie jean is not my lover shes just a girl who claims that i am the one but the kid is not my son she says i am the one but the kid is not my sonfor forty days and forty nights the law was on her side but who can stand when shes in demand her schemes and plans cause we danced on the floor in the round so take my strong advice just remember to always think twice dont think twice dont think twiceshe told my baby wed danced till three then she looked at me then showed a photo my baby cried his eyes were like mine oh no cause we danced on the floor in the round babypeople always told me be careful of what you do and dont go around breaking young girls hearts she came and stood right by me just the smell of sweet perfume this happened much too soon she called me to her roombillie jean is not my lover shes just a girl who claims that i am the one but the kid is not my sonbillie jean is not my lover shes just a girl who claims that i am the one but the kid is not my son she says i am the one but the kid is not my sonshe says i am the one but the kid is not my sonbillie jean is not my lover shes just a girl who claims that i am the one but the kid is not my son she says i am the one but the kid is not my sonshe says i am the one you know what you did she says he is my sonbreaking my heart babe she says i am the onebillie jean is not my lover billie jean is not my lover billie jean is not my lover billie jean is not my lover dont billie jean billie jean is not my lover billie jean is not my lover ,1.0
5,beat it,michael jackson,1983, they told him dont you ever come around here dont want to see your face you better disappear the fires in their eyes and their words are really clear so beat it just beat ityou better run you better do what you can dont want to see no blood dont be a macho man you want to be tough better do what you can so beat it but you want to be badjust beat it beat it beat it beat it no one wants to be defeated showin how funky and strong is your fight it doesnt matter whos wrong or right just beat it beat it just beat it beat it just beat it beat it just beat it beat ittheyre out to get you better leave while you can dont want to be a boy you want to be a man you want to stay alive better do what you can so beat it just beat ityou have to show them that youre really not scared youre playin with your life this aint no truth or dare theyll kick you then they beat you then theyll tell you its fair so beat it but you want to be badjust beat it beat it beat it beat it no one wants to be defeated showin how funky and strong is your fight it doesnt matter whos wrong or rightjust beat it beat it beat it beat it no one wants to be defeated showin how funky and strong is your fight it doesnt matter whos wrong or rightjust beat it beat it beat it beat it no one wants to be defeated showin how funky and strong is your fight it doesnt matter whos wrong or right just beat it beat it beat it beat it beat itno one wants to be defeated showin how funky and strong is your fight it doesnt matter whos wrong or whos rightjust beat it beat it beat it beat it no one wants to be defeated showin how funky and strong is your fight it doesnt matter whos wrong or rightjust beat it beat it beat it beat it no one wants to be defeated showin how funky and strong is your fight it doesnt matter whos wrong or right just beat it beat it beat it beat it beat it ,1.0
68,wanna be startin somethin,michael jackson,1983, i said you wanna be startin somethin you got to be startin somethin i said you wanna be startin somethin you got to be startin somethin its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeah its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeahi took my baby to the doctor with a fever but nothing he found by the time this hit the street they said she had a breakdown someones always tryin to start my baby cryin talkin squealin lyin sayin you just wanna be startin somethini said you wanna be startin somethin you got to be startin somethin i said you wanna be startin somethin you got to be startin somethin its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeah its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeahyou love to pretend that youre good when youre always up to no good you really cant make him hate her so your tongue became a razor someones always tryin to keep my baby cryin treacherous cunnin declinin you got my baby cryini said you wanna be startin somethin you got to be startin somethin i said you wanna be startin somethin you got to be startin somethin its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeah its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeah youre a vegetable youre a vegetable still they hate you youre a vegetable youre just a buffet youre a vegetable they eat off of you youre a vegetablebillie jean is always talkin when nobody else is talkin tellin lies and rubbin shoulders so they called her mouth a motor someones always tryin to start my baby cryin talkin squealin spyin sayin you just wanna be startin somethini said you wanna be startin somethin you got to be startin somethin i said you wanna be startin somethin you got to be startin somethin its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeah its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeah youre a vegetable youre a vegetable still they hate you youre a vegetable youre just a buffet youre a vegetable they eat off of you youre a vegetableif you cant feed your baby yeah yeah then dont have a baby yeah yeah and dont think maybe yeah yeah if you cant feed your baby yeah yeah youll be always tryin to stop that child from cryin hustlin stealin lyin now babys slowly dyini said you wanna be startin somethin you got to be startin somethin i said you wanna be startin somethin you got to be startin somethin its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeah its too high to get over yeah yeah too low to get under yeah yeah youre stuck in the middle yeah yeah and the pain is thunder yeah yeahlift your head up high and scream out to the world i know i am someone and let the truth unfurl no one can hurt you now because you know whats true yes i believe in me so you believe in you help me sing it ma ma se ma ma sa ma ma coo sa ma ma se ma ma sa ma ma coo sa ,1.0
89,human nature,michael jackson,1983, looking out across the nighttime the city winks a sleepless eye hear her voice shake my window sweet seducing sighsget me out into the nighttime four walls wont hold me tonight if this town is just an apple then let me take a biteif they say why why tell em that its human nature why why does he do it that way if they say why why tell em that its human nature why why does he do me that wayreaching out to touch a stranger electric eyes are everywhere see that girl she knows im watching she likes the way i stareif they say why why tell em that its human nature why why does he do me that way if they say why why tell em that its human nature why why does he do me that wayi like livin this way i like lovin this waythat way why why that way why whylooking out across the morning where the citys heart begins to beat reaching out i touch her shoulder im dreaming of the streetif they say why why tell em that its human nature why why does he do me that way if they say why why ooo tell em why why does he do me that way if they say why why cha cha cha cha cha cha why does he do me that way if they say why why why ooo tell em why does he do me that way if they say why ooo tell em why does he do me that way if they say why da da da da da da da da why does he do my that way i like living this way why oh why why why ,1.0
