Rank,Song,Artist,Year,Lyrics,Source
40,rocket man,elton john,1972, she packed my bags last night pre flight zero hour nine am and im gonna be high as a kite by then i miss the earth so much i miss my wife its lonely out in space on such a timeless flightand i think its gonna be a long long time till touch down brings me round again to find im not the man they think i am at home oh no no no im a rocket man rocket man burning out his fuse up here aloneand i think its gonna be a long long time till touch down brings me round again to find im not the man they think i am at home oh no no no im a rocket man rocket man burning out his fuse up here alonemars aint the kind of place to raise your kids in fact its cold as hell and theres no one there to raise them if you didnt and all this science i dont understand its just my job five days a week a rocket man a rocket manand i think its gonna be a long long time till touch down brings me round again to find im not the man they think i am at home oh no no no im a rocket man rocket man burning out his fuse up here aloneand i think its gonna be a long long time till touch down brings me round again to find im not the man they think i am at home oh no no no im a rocket man rocket man burning out his fuse up here alonenow i think its gonna be a long long time and i think its gonna be a long long time and i think its gonna be a long long time and i think its gonna be a long long time  ,1.0
7,crocodile rock,elton john,1973, i remember when rock was young me and suzie had so much fun holding hands and skimming stones had an old gold chevy and a place of my own but the biggest kick i ever got was doing a thing called the crocodile rock while the other kids were rocking round the clock we were hopping and bopping to the crocodile rockwell crocodile rocking is something shocking when your feet just cant keep still i never knew me a better time and i guess i never will oh lawdy mama those friday nights when suzie wore her dresses tight and the crocodile rocking was out of sightla lalalala la lalalala la lalalala labut the years went by and the rock just died suzie went and left us for some foreign guy long nights crying by the record machine dreaming of my chevy and my old blue jeans but theyll never kill the thrills weve got burning up to the crocodile rock learning fast as the weeks went past we really thought the crocodile rock would lastwell crocodile rocking is something shocking when your feet just cant keep still i never knew me a better time and i guess i never will oh lawdy mama those friday nights when suzie wore her dresses tight and the crocodile rocking was out of sightla lalalala la lalalala la lalalala lai remember when rock was young me and suzie had so much fun holding hands and skimming stones had an old gold chevy and a place of my own but the biggest kick i ever got was doing a thing called the crocodile rock while the other kids were rocking round the clock we were hopping and bopping to the crocodile rockwell crocodile rocking is something shocking when your feet just cant keep still i never knew me a better time and i guess i never will oh lawdy mama those friday nights when suzie wore her dresses tight and the crocodile rocking was out of sightla lalalala la lalalala la lalalala la la lalalala la lalalala la lalalala la la lalalala la lalalala la lalalala la ,1.0
48,daniel,elton john,1973, daniel is traveling tonight on a plane i can see the red tail lights heading for spain oh and i can see daniel waving goodbye god it looks like daniel must be the clouds in my eyesthey say spain is pretty though ive never been well daniel says its the best place that hes ever seen oh and he should know hes been there enough lord i miss daniel oh i miss him so muchoh oh daniel my brother you are older than me do you still feel the pain of the scars that wont heal your eyes have died but you see more than i daniel youre a star in the face of the skyoh oh daniel my brother you are older than me do you still feel the pain of the scars that wont heal your eyes have died but you see more than i daniel youre a star in the face of the sky ,1.0
9,bennie and the jets,elton john,1974, hey kids shake it loose together the spotlights hitting something thats been known to change the weather well kill the fatted calf tonight so stick around youre gonna hear electric music solid walls of soundsay candy and ronnie have you seen them yet uh but theyre so spaced out bbbbennie and the jets oh but theyre weird and theyre wonderful oh bennie shes really keen shes got electric boots a mohair suit you know i read it in a magazine bbbbennie and the jetshey kids plug into the faithless maybe theyre blinded but bennie makes them ageless we shall survive let us take ourselves along where we fight our parents out in the streets to find whos right and whos wrongoh candy and ronnie have you seen them yet oh but theyre so spaced out bennie and the jets oh but theyre weird and theyre wonderful oh bennie shes really keen shes got electric boots a mohair suit you know i read it in a magazine oh bbbbennie and the jets ,1.0
72,goodbye yellow brick road,elton john,1974, when are you gonna come down when are you going to land i should have stayed on the farm i should have listened to my old manyou know you cant hold me forever i didnt sign up with you im not a present for your friends to open this boys too young to be singing the bluesso goodbye yellow brick road where the dogs of society howl you cant plant me in your penthouse im going back to my ploughback to the howling old owl in the woods hunting the horny back toad oh ive finally decided my future lies beyond the yellow brick roadwhat do you think youll do then i bet thatll shoot down your plane itll take you a couple of vodka and tonics to set you on your feet againmaybe youll get a replacement theres plenty like me to be found mongrels who aint got a penny sniffing for tidbits like you on the groundso goodbye yellow brick road where the dogs of society howl you cant plant me in your penthouse im going back to my ploughback to the howling old owl in the woods hunting the horny back toad oh ive finally decided my future lies beyond the yellow brick road ,1.0
78,dont let the sun go down on me,elton john,1974, i cant light no more of your darkness all my pictures seem to fade to black and white im growing tired and time stands still before me frozen here on the ladder of my life    meaning  byamandah   editor    on february 27th 2016 elton john performed a free concert on las sunset strip as a thankyou to his aids foundation supporters he welcomed close friend    see all   too late to save myself from falling i took a chance and changed your way of life but you misread my meaning when i met you closed the door and left me blinded by the lightdont let the sun go down on me although i searched myself its always someone else i see id just allow a fragment of your life to wander free but losing everything is like the sun going down on mei cant find the right romantic line but see me once and see the way i feel dont discard me just because you think i mean you harm but these cuts i have they need love to help them heal ,1.0
3,philadelphia freedom,elton john,1975, i used to be a rolling stone you know if a cause was right id leave to find the answer on the road i used to be a heart beating for someone but the times have changed the less i say the more my work gets donecause i live and breathe this philadelphia freedom from the day that i was born ive waved the flag philadelphia freedom took me knee high to a man yeah gave me a piece of mama daddy never hadoh philadelphia freedom shine on me i love you shine the light through the eyes of the ones left behind shine the light shine the light shine the light wont you shine the light philadelphia freedom i loveveve you yes i doif you choose to you can live your life alone some people choose the city some people the city some others choose the good old family home some others choose a good old i like living easy without family ties living easy till the whippoorwill of freedom zapped me right between the eyescause i live and breathe this philadelphia freedom from the day that i was born ive waved the flag philadelphia freedom took me knee high to a man mm mm gave me a piece of mama daddy never hadoh philadelphia freedom shine on me i love you shine the light through the eyes of the ones left behind shine the light shine the light shine the light wont you shine the light philadelphia freedom i loveveve you yes i dooh philadelphia freedom shine on me i love you shine the light through the eyes of the ones left behind shine the light shine the light shine the light wont you shine the light philadelphia freedom i loveveve you know i loveveve  you know i loveveve you yes i do philadelphia freedom i loveveve you yes i do philadelphia freedom you know that i loveveve you yes i do philadelphia freedom dont you know that i loveveve you yes i do philadelphia freedom dont you know that i loveveve you yes i do philadelphia freedom ,1.0
34,lucy in the sky with diamonds,elton john,1975, picture yourself in a boat on a river with tangerine trees and marmalade skies somebody calls you you answer quite slowly a girl with kaleidoscope eyescellophane flowers of yellow and green towering over your head look for the girl with the sun in her eyes and shes gonelucy in the sky with diamonds lucy in the sky with diamonds lucy in the sky with diamonds ohfollow her down to a bridge by a fountain where rockinghorse people eat marshmallow pies everyone smiles as you drift past the flowers that grow so incredibly highnewspaper taxis appear on the shore waiting to take you away climb in the back with your head in the clouds and youre gonelucy in the sky with diamonds lucy in the sky with diamonds lucy in the sky with diamonds ohnewspaper taxis appear on the shore waiting to take you away climb in the back with your head in the clouds and youre gonelucy in the sky with diamonds lucy in the sky with diamonds lucy in the sky with diamonds ohpicture yourself on a train in a station with plasticine porters with lookingglass ties suddenly someone is there at the turnstile the girl with kaleidoscope eyeslucy in the sky with diamonds lucy in the sky with diamonds lucy in the sky with diamonds ohlucy in the sky with diamonds lucy lucy in the sky with diamonds oh lucy lucy in the sky with diamonds oh lucy ohlucy in the sky with diamonds lucy lucy in the sky with diamonds oh lucy lucy in the sky with diamonds oh lucy ohlucy in the sky with diamonds lucy lucy in the sky with diamonds oh lucy lucy in the sky with diamonds oh lucy ohlucy in the sky with diamonds hey oh lucy lucy in the sky with diamonds oh lucy lucy in the sky with diamonds oh lucy ,1.0
91,someone saved my life tonight,elton john,1975, when i think of those east end lights muggy nights the curtains drawn in the little room downstairs prima donna lord you really should have been there sitting like a princess perched in her electric chair and its one more beer and i dont hear you anymore weve all gone crazy lately my friends out there rolling round the basement floorand someone saved my life tonight sugar bear you almost had your hooks in me didnt you dear you nearly had me roped and tied altarbound hypnotized sweet freedom whispered in my ear youre a butterfly and butterflies are free to fly fly away high away bye byei never realized the passing hours of evening showers a slip noose hanging in my darkest dreams im strangled by your haunted social scene just a pawn outplayed by a dominating queen its four oclock in the morning damn it listen to me good im sleeping with myself tonight saved in time thank god my musics still aliveand someone saved my life tonight sugar bear you almost had your hooks in me didnt you dear you nearly had me roped and tied altarbound hypnotized sweet freedom whispered in my ear youre a butterfly and butterflies are free to fly fly away high away bye byeand i would have walked head on into the deep end the river clinging to your stocks and bonds paying your hp demands forever theyre coming in the morning with a truck to take me home someone saved my life tonight someone saved my life tonight someone saved my life tonight someone saved my life tonight someone saved my life tonight so save your strength and run the field you play aloneand someone saved my life tonight sugar bear you almost had your hooks in me didnt you dear you nearly had me roped and tied altarbound hypnotized sweet freedom whispered in my ear youre a butterfly and butterflies are free to fly fly away high away bye byesomeone saved someone saved someone saved my life tonight someone saved someone saved someone saved my life tonight someone saved someone saved someone saved my life tonight someone saved someone saved someone saved my life tonight someone saved someone saved someone saved my life tonight someone saved someone saved someone saved my life tonight ,1.0
65,island girl,elton john,1976, i see your teeth flash jamaican honey so sweet down where lexington cross 47th street oh shes a big girl shes standing sixfoot three turning tricks for the dudes in the big cityisland girl what you wanting with the white mans world island girl black boy want you in his island worldhe want to take you from the racket boss he want to save you but the cause is lost island girl island girl island girl tell me what you wanting with the white mans worldwell shes black as coal but she burn like a fire and she wrap herself around you like a wellworn tire you feel her nail scratch your back just like a rake oh oh he one more gone he one more john who make the mistakeisland girl what you wanting with the white mans world island girl black boy want you in his island worldhe want to take you from the racket boss he want to save you but the cause is lost island girl island girl island girl tell me what you wanting with the white mans worldisland girl what you wanting with the white mans world island girl black boy want you in his island worldhe want to take you from the racket boss he want to save you but the cause is lost island girl island girl island girl tell me what you wanting with the white mans tell me what you wanting with the white mans tell me what you wanting with the white mans ,1.0
95,sorry seems to be the hardest word,elton john,1977, what have i got to do to make you love me what have i got to do to make you care what do i do when lightning strikes me and i wake to find that youre not therewhat have i got to do to make you want me what have i got to do to be heard what do i say when its all over and sorry seems to be the hardest wordits sad so sad so sad its a sad sad situation and its getting more and more absurd its sad so sad so sad why cant we talk it over oh it seems to me that sorry seems to be the hardest wordits sad so sad so sad its a sad sad situation and its getting more and more absurd its sad so sad so sad why cant we talk it over oh it seems to me that sorry seems to be the hardest word ,1.0
