Rank,Song,Artist,Year,Lyrics,Source
35,borderline,madonna,1984, something in the way you love me wont let me be i dont want to be your prisoner so baby wont you set me free stop playing with my heart finish what you start when you make my love come down if you want me let me know baby let it show honey dont you fool aroundjust try to understand understand ive given all i can cause you got the best of meborderline feels like im going to lose my mind you just keep on pushing my love over the borderlineborderline feels like im going to lose my mind you just keep on pushing my love over the borderline borderlinesomething in your eyes is makin such a fool of me when you hold me in your arms you love me til i just cant see but then you let me down when i look around baby you just cant be found stop driving me away i just want to stay theres something i just got to sayjust try to understand understand ive given all i can cause you got the best of meborderline feels like im going to lose my mind you just keep on pushing my love over the borderlineborderline feels like im going to lose my mind you just keep on pushing my love over the borderline borderlinekeep pushing me keep pushing me keep pushing my lovekeep on pushing my love come on baby come on darling yeah over the borderline borderline ,1.0
66,lucky star,madonna,1984, you must be my lucky star cause you shine on me wherever you are i just think of you and i start to glow and i need your light and baby i knowstarlight star bright first star i see tonight starlight star bright make everything alright starlight star bright first star i see tonight starlight star bright ooo yeahyou must be my lucky star cause you make the darkness seem so far and when im lost youll be my guide i just turn around and youre by my sidestarlight star bright first star i see tonight starlight star bright make everything alright starlight star bright first star i see tonight starlight star bright ooo yeahcome on shine your heavenly body tonight cause i know youre gonna make everything alright come on shine your heavenly body tonight cause i know youre gonna make everything alrightyou may be my lucky star but im the luckiest by far you may be my lucky star but im the luckiest by farstarlight star bright first star i see tonight starlight star bright make everything alright starlight star bright first star i see tonight starlight star bright ooo yeahcome on shine your heavenly body tonight cause i know youre gonna make everything alright come on shine your heavenly body tonight cause i know youre gonna make everything alrightyou may be my lucky star im the luckiest by far you may be my lucky star im the luckiest by faryou may be my lucky star what you do to me baby you know im the luckiest by farstarlight star bright first star i see tonight starlight star bright make everything alright starlight star bright first star i see tonight starlight star brightstarlight star bright you make everything alright what you do to me baby you better stay by my side tonightstarlight star bright starlight star bright starlight star bright starlight star brightstarlight star bright baby starlight star bright stay by my side tonight what you do to me baby what you do what you do to me baby stay by my side tonight you may be my lucky star ,1.0
79,holiday,madonna,1984, holiday celebrate holiday celebrateif we took a holiday took some time to celebrate just one day out of life it would be it would be so nice everybody spread the word were gonna have a celebration all across the world in every nation its time for the good times forget about the bad times one day to come together to release the pressure we need a holiday if we took a holiday took some time to celebrate just one day out of life it would be it would be so niceyou can turn this world around and bring back all of those happy days put your trouble down its time to celebrate let love shine and we will find a way to come together and make things better we need a holiday if we took a holiday took some time to celebrate just one day out of life it would be it would be so niceholiday celebrate holiday celebrate ,1.0
2,like a virgin,madonna,1985, i made it through the wilderness somehow i made it through didnt know how lost i was until i found youi was beat incomplete id been had i was sad and blue but you made me feel yeah you made me feel shiny and newhoo like a virgin touched for the very first time like a virgin when your heart beats next to minegonna give you all my love boy my fear is fading fast been saving it all for you cause only love can lastyoure so fine and youre mine make me strong yeah you make me bold oh your love thawed out yeah your love thawed out what was scared and coldlike a virgin hey touched for the very first time like a virgin with your heartbeat next to minewhoa whoa ah whoayoure so fine and youre mine ill be yours till the end of time cause you made me feel yeah you made me feel ive nothing to hidelike a virgin hey touched for the very first time like a virgin with your heartbeat next to minelike a virgin ooh ooh like a virgin feels so good inside when you hold me and your heart beats and you love meoh oh ooh whoa ,1.0
9,crazy for you,madonna,1985, swaying room as the music starts strangers making the most of the dark two by two their bodies become onei see you through the smokey air cant you feel the weight of my stare youre so close but still a world away what im dying to say is thatim crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss im crazy for you crazy for youtrying hard to control my heart i walk over to where you are eye to eye we meet no words at allslowly now we begin to move every breath im deeper into you soon we two are standing still in time if you read my mind youll seeim crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss youll feel it in my kiss because im crazy for you touch me once and youll know its true i never wanted anyone like this its all brand new youll feel it in my kiss im crazy for you crazy for you crazy for you crazy for you its all brand new im crazy for you and you know its true im crazy crazy for you its all brand new im crazy for you and you know its true yeah im crazy for you ,1.0
58,material girl,madonna,1985, some boys kiss me some boys hug me i think theyre ok if they dont give me proper credit i just walk awaythey can beg and they can plead but they cant see the light thats right cause the boy with the cold hard cash is always mister rightcause we are living in a material world and i am a material girl you know that we are living in a material world and i am a material girlsome boys romance some boys slow dance thats all right with me if they cant raise my interest then i have to let them besome boys try and some boys lie but i dont let them play no way only boys who save their pennies make my rainy daycause were living in a material world and i am a material girl you know that we are living in a material world and i am a material girl living in a material world and i am a material girl you know that we are living in a material world and i am a material girlliving in a material world material living in a material world living in a material world material living in a material worldboys may come and boys may go and thats all right you see experience has made me rich and now theyre after mecause everybodys living in a material world and i am a material girl you know that we are living in a material world and i am a material girl living in a material world and i am a material girl you know that we are living in a material world and i am a material girla material a material a material a material worldliving in a material world material living in a material world living in a material world material living in a material worldliving in a material world material living in a material world living in a material world material living in a material ,1.0
81,angel,madonna,1985, why am i standing on a cloud every time youre around and my sadness disappears every time you are nearyou must be an angel i can see it in your eyes full of wonder and surprise and just now i realizeooh youre an angel ooh youre an angel ooh youre an angel in disguise i can see it in your eyeswalking down a crowded avenue other faces seem like nothing next to you and i cant hear the traffic rushing by just the pounding of my heart and thats whyyou must be an angel i can see it in your eyes full of wonder and surprise and just now i realizeooh youre an angel ooh youre an angel ooh youre an angel in disguise i can see it in your eyesooh youre an angel ooh youre an angel ooh youre an angel in disguise i can see it in your eyesyoure an angel youre an angel baby youre an angel you must be an angelnow i believe that dreams come true cause you came when i wished for you this just cant be coincidence the only way that this makes sense is thatooh youre an angel ooh youre an angel ooh youre an angel in disguise i can see it in your eyesooh youre an angel ooh youre an angel ooh youre an angel in disguise i can see it in your eyesyoure an angel youre an angel baby youre an angel you must be an angel babyclouds just disappear ,1.0
98,dress you up,madonna,1985, youve got style thats what all the girls say satin sheets and luxuries so fine all your suits are custom made in london ive got something that youll really likegonna dress you up in my love all over all over gonna dress you up in my love all over your bodyfeel the silky touch of my caresses they will keep you looking so brand new let me cover you with velvet kisses ill create a look thats made for yougonna dress you up in my love all over all over gonna dress you up in my love all over your bodygonna dress you up in my love in my love all over your body all over your body in my love all over all over from your head down to your toesgonna dress you up in my love all over all over gonna dress you up in my love all over your bodygonna dress you up in my love in my love all over your body all over your body in my love all over all over from your head down to your toesgonna dress you up in my love all over all over dress you up in my love in my love all over your bodygonna dress you up in my love all over all over dress you up in my love in my love all over your body ,1.0
29,papa dont preach,madonna,1986, ,1.0
35,live to tell,madonna,1986, i have a tale to tell sometimes it gets so hard to hide it well i was not ready for the fall too blind to see the writing on the walla man can tell a thousand lies ive learned my lesson well hope i live to tell the secret i have learned till then it will burn inside of mei know where beauty lives ive seen it once i know the warm she gives the light that you could never see it shines inside you cant take that from mea man can tell a thousand lies ive learned my lesson well hope i live to tell the secret i have learned till then it will burn inside of methe truth is never far behind you kept it hidden well if i live to tell the secret i knew then will i ever have the chance againif i ran away id never have the strength to go very far how would they hear the beating of my heart will it grow cold the secret that i hide will i grow old how will they hear when will they learn how will they knowa man can tell a thousand lies ive learned my lesson well hope i live to tell the secret i have learned till then it will burn inside of methe truth is never far behind you kept it hidden well if i live to tell the secret i knew then will i ever have the chance againa man can tell a thousand lies ive learned my lesson well hope i live to tell the secret i have learned till then it will burn inside of me ,1.0
