County,Value
Harris,75
Dallas,43
Bexar,30
Tarrant,26
Jefferson,10
Nueces,8
Hidalgo,7
Potter,6
Travis,6
McLennan,6
Brazos,5
Lubbock,5
Cameron,4
El Paso,4
Smith,4
Wichita,3
Gregg,3
Lamar,3
Galveston,3
Williamson,3
Hunt,3
Wharton,3
Scurry,2
Tom Green,2
Hays,2
Grimes,2
Anderson,2
Leon,2
Eastland,2
Bell,2
Marion,2
Waller,2
Taylor,2
Matagorda,2
Nacogdoches,2
Montgomery,2
Navarro,2
Collin,2
Colorado,2
Hutchinson,1
Houston,1
Bastrop,1
Hardin,1
Kaufman,1
Grayson,1
Bowie,1
Martin,1
Calhoun,1
Victoria,1
Ochiltree,1
Harrison,1
Culberson,1
Wise,1
Austin,1
Brazoria,1
Deaf Smith,1
Val Verde,1
Hopkins,1
Brown,1
Childress,1
Cherokee,1
Red River,1
Webb,1
Fort Bend,1
Zavala,1
Howard,1
Freestone,1
San Patricio,1
Gonzales,1
Angelina,1
Caldwell,1
Terrell,1
Wilbarger,1
Bailey,1
Knox,1
Dawson,1
Polk,1
Haskell,1
Erath,1
Callahan,1
Kleberg,1
Hill,1
Parmer,1
